week,avg_sentiment,tweet_count,avg_retweets,avg_favorites
2022-07-04,0.14632773256520382,52,4245.961538461538,59634.153846153844
2022-07-11,0.18812126210347438,60,3959.65,57683.7
2022-07-18,0.2350070158379491,55,2029.8,35270.05454545454
2022-07-25,0.014656602644690257,68,4621.264705882353,62496.970588235294
2022-08-01,0.20474726855019598,38,2830.2105263157896,47966.42105263158
2022-08-08,0.045442611520411444,40,4984.525,68216.9
2022-08-15,0.28430548590812377,41,7914.1463414634145,89693.80487804877
2022-08-22,0.1477682729202666,57,3727.1403508771928,47762.21052631579
2022-08-29,0.5079800391802565,20,2119.6,32766.9
2022-09-05,0.1559961627521631,59,2528.9322033898306,35694.71186440678
2022-09-12,0.07189099115636596,47,2430.1063829787236,36727.765957446805
2022-09-19,0.15525634989249879,65,2321.646153846154,26098.553846153845
2022-09-26,0.13695182832889258,65,1928.6923076923076,29805.69230769231
2022-10-03,0.02559282857173187,101,3521.09900990099,43428.316831683165
2022-10-10,0.020654906542760504,97,2866.144329896907,42719.154639175256
2022-10-17,0.11429339596721273,93,2182.8387096774195,28514.88172043011
2022-10-24,0.21692602594516108,70,22472.914285714287,217926.82857142857
2022-10-31,0.06658120596652653,123,13323.560975609756,173880.46341463414
2022-11-07,0.08394916820808604,151,7617.675496688742,103395.78145695364
2022-11-14,0.10051534479416366,186,8234.349462365592,108325.52150537634
2022-11-21,0.042295017765362944,221,7911.434389140271,100224.88235294117
2022-11-28,0.027023130807073917,183,13268.459016393443,133678.60655737706
2022-12-05,0.06333837062369899,140,11626.707142857143,122074.91428571429
2022-12-12,-0.002988835836930031,220,8911.559090909092,90650.79545454546
2022-12-19,0.014935590631379555,146,7100.746575342466,75994.52054794521
2022-12-26,0.007846336979751609,140,6712.65,71387.89285714286
2023-01-02,-0.003757754671632459,76,5396.921052631579,70145.18421052632
2023-01-09,0.0748648323704291,66,4343.348484848485,56681.51515151515
2023-01-16,0.02115842797636323,163,4650.453987730061,47465.36809815951
2023-01-23,0.03873670124336898,104,3956.826923076923,54590.817307692305
2023-01-30,0.03701555384788662,100,3111.65,53570.8
2023-02-06,0.017978162488393616,114,5013.1140350877195,60597.62280701754
2023-02-13,0.15911293897079304,154,5580.818181818182,79390.03246753247
2023-02-20,-0.013174952363112459,135,3176.925925925926,44759.22222222222
2023-02-27,0.011388662685691327,91,3237.3736263736264,37210.8021978022
2023-03-06,-0.10359319593569832,144,5839.951388888889,50475.729166666664
2023-03-13,0.041731899518463005,148,5371.398648648648,49893.87162162162
2023-03-20,0.04416930746111729,77,3852.6363636363635,46564.58441558442
2023-03-27,0.11583499266183372,207,3722.7391304347825,43585.067632850245
2023-04-03,0.043259394417105655,154,3859.12987012987,47630.746753246756
2023-04-10,0.057301769398951104,245,4834.061224489796,53442.72244897959
2023-04-17,0.1504177718704182,189,4548.41798941799,60700.96296296296
2023-04-24,0.058976842611793825,159,3097.37106918239,36389.17610062893
2023-05-01,0.15526916221013323,189,2325.746031746032,28928.195767195768
2023-05-08,0.13502748656259334,213,4277.131455399061,39559.910798122066
2023-05-15,0.17592337573357447,143,3722.7062937062938,38598.167832167834
2023-05-22,0.0865415100993302,130,3505.130769230769,34785.20769230769
2023-05-29,0.06064887984109152,138,4459.789855072464,40316.89855072464
2023-06-05,0.13756219686872168,205,2812.629268292683,27989.90731707317
2023-06-12,0.014305559071627531,22,812.4090909090909,11418.318181818182
